Grapheme	IPA
.	NULL
j	j
o	o
e	e
w	w
u	u
dʒ	dʒ
a	a
ˈiə	ˈiə
ˈɛ	ˈɛ
m	m
i	i
iː	iː
ˈi	ˈi
ə	ə
d	d
ˈe	ˈe
ˈɔ	ˈɔ
ʒ	ʒ
ʑ	ʑ
n	n
r	r
t	t
ˈu	ˈu
+	+
tʃ	tʃ
y	y
ˈy	ˈy
tː	tː
ˈo	ˈo
ð	ð
š	ʃ
k	k
ˈa	ˈa
s	s
z	z
ˈə	ˈə
ˈœ	ˈœ
ŋ	ŋ
ts	ts
nː	nː
θ	θ
ɾ	ɾ
ɨ	ɨ
v	v
p	p
l	l
ˈɔː	ˈɔː
tːʃ	tːʃ
b	b
ˈw	ˈw
f	f
ˈo̯a	ˈo̯a
x	x
ˈɨ	ˈɨ
ˈã	ˈã
ˈaː	ˈaː
ɲ	ɲ
ˈɒ	ˈɒ
ɡ	ɡ
ɔː	ɔː
aː	aː
sː	sː
ʎ	ʎ
ˈɛː	ˈɛː
lː	lː
ˈeː	ˈeː
ˈj	ˈj
dz	dz
ɖː	ɖː
lˠ	lˠ
tːs	tːs
ɣ	ɣ
ˈeə	ˈeə
ˈiː	ˈiː
dː	dː
tʲ	tʲ
ˈæ	ˈæ
rː	rː
yː	yː
bː	bː
ʃː	ʃː
ˈoː	ˈoː
ɲː	ɲː
uː	uː
vː	vː
ɥ	ɥ
β	β
eː	eː
œ	œ
dːʒ	dʒː
ʐ	ʐ
tɕ	tɕ
ˈe̯a	ˈe̯a
fː	fː
kː	kː
ʁ	ʁ
dʲ	dʲ
pː	pː
oː	oː
ˈœː	ˈœː
kʲ	kʲ
ɒ	ɒ
ŋː	ŋː
mː	mː
ai	ai
ie	ie
ɐ	ɐ
ˈæː	ˈæː
ɑ	ɑ
ˈf	ˈf
ʎː	ʎː
ɡː	ɡː
ˈɥ	ˈɥ
_	+
ˈuː	ˈuː
ˈyː	ˈyː
ˈẽ	ˈẽ
ˈia	ˈia
ˈr	ˈr
ʂ	ʂ
ɽ	ɽ
ao	ao
ˈie	ˈie
ʈ	ʈ
ˈui	ˈui
ˈau	ˈau
ˈlˠ	ˈlˠ
ˈai	ˈai
ˈoi	ˈoi
